avg_percent_funded,category,category_coverage,category_gap,category_total_people_in_need,category_total_people_targeted,code,country,funding,funding_gap,funding_per_need,funding_per_target,gap_per_person,name,overall_score,people_in_need,people_reached,people_reached_ratio,people_targeted,percent_funded,primary_location,rank,ranking_category,ranking_name,requirements,target_coverage,total_coverage,total_funding,total_funding_gap,total_funding_per_need,total_funding_per_target,total_gap_per_person,total_people_in_need,total_people_reached,total_people_targeted,total_reached_ratio,total_requirements,total_unmet_need_ratio,unmet_need_ratio
,,,,,,FPSE26,,451836549.0,3612469259.0,,,,Escalation of Hostilities in the OPT Flash Appeal 2026,,,,,,11.1,PSE,1,plan_rankings,by_funding_gap,4064305808.0,,,,,,,,,,,,,,
,,,,,,HSYR26,,437301894.0,2484882936.0,,,,Syrian Arab Republic Humanitarian Response Priorities 2026,,,,,,15.0,SYR,2,plan_rankings,by_funding_gap,2922184830.0,,,,,,,,,,,,,,
,,,,,,HSDN26,,488147337.0,2378081256.0,,,,Sudan Humanitarian Needs and Response Plan 2026,,,,,,17.0,SDN,3,plan_rankings,by_funding_gap,2866228593.0,,,,,,,,,,,,,,
,,,,,,HYEM26,,258764721.0,1903798615.0,,,,Yemen Humanitarian Needs and Response Plan 2026,,,,,,12.0,YEM,4,plan_rankings,by_funding_gap,2162563336.0,,,,,,,,,,,,,,
,,,,,,HUKR26,,640227370.0,1663734605.0,,,,Ukraine Humanitarian Needs and Response Plan 2026,,,,,,27.8,UKR,5,plan_rankings,by_funding_gap,2303961975.0,,,,,,,,,,,,,,
,,,,,,HAFG26,,214214587.0,1499966909.0,,,,Afghanistan Humanitarian Needs and Response Plan 2026,,,,,,12.5,AFG,6,plan_rankings,by_funding_gap,1714181496.0,,,,,,,,,,,,,,
,,,,,,HSSD26,,322015249.0,1141030807.0,,,,South Sudan Humanitarian Needs and Response Plan 2026,,,,,,22.0,SSD,7,plan_rankings,by_funding_gap,1463046056.0,,,,,,,,,,,,,,
,,,,,,HCOD26,,430024823.0,973696895.0,,,,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026,,,,,,30.6,COD,8,plan_rankings,by_funding_gap,1403721718.0,,,,,,,,,,,,,,
,,,,,,RUGA26,,13438960.0,815261040.0,,,,Uganda Regional Refugee Response Plan 2026,,,,,,1.6,UGA,9,plan_rankings,by_funding_gap,828700000.0,,,,,,,,,,,,,,
,,,,,,HTCD26,,215913333.0,770156294.0,,,,Tchad Besoins Humanitaires et Plan de Réponse 2026,,,,,,21.9,TCD,10,plan_rankings,by_funding_gap,986069627.0,,,,,,,,,,,,,,
,,,,,,HSOM26,,111250193.0,740749807.0,,,,Somalia Humanitarian Needs and Response Plan 2026,,,,,,13.1,SOM,11,plan_rankings,by_funding_gap,852000000.0,,,,,,,,,,,,,,
,,,,,,HHTI26,,172057079.0,708270347.0,,,,Haiti Besoins Humanitaires et Plan de Réponse 2026,,,,,,19.5,HTI,12,plan_rankings,by_funding_gap,880327426.0,,,,,,,,,,,,,,
