code,name,locations,primary_location,location_codes,year,requirements,funding,percent_funded,destPlanCode,total_contributions,contribution_count,Country ISO3,In Need,Targeted,Affected,Reached
FPSE26,Escalation of Hostilities in the OPT Flash Appeal 2026,PSE,PSE,['PSE'],2026,4064305808.0,451836549.0,11.1,FPSE26,340004369,165,,,,,
HSYR26,Syrian Arab Republic Humanitarian Response Priorities 2026,SYR,SYR,['SYR'],2026,2922184830.0,437301894.0,15.0,HSYR26,375260530,75,SYR,16500000.0,10300000.0,0.0,0.0
HSDN26,Sudan Humanitarian Needs and Response Plan 2026,SDN,SDN,['SDN'],2026,2866228593.0,488147337.0,17.0,HSDN26,407778832,83,SDN,33699770.0,20419163.0,0.0,0.0
HUKR26,Ukraine Humanitarian Needs and Response Plan 2026,UKR,UKR,['UKR'],2026,2303961975.0,640227370.0,27.8,HUKR26,806065099,106,UKR,48664624.0,19815139.0,0.0,0.0
HYEM26,Yemen Humanitarian Needs and Response Plan 2026,YEM,YEM,['YEM'],2026,2162563336.0,258764721.0,12.0,HYEM26,161785093,85,YEM,23100000.0,10500000.0,0.0,0.0
HAFG26,Afghanistan Humanitarian Needs and Response Plan 2026,AFG,AFG,['AFG'],2026,1714181496.0,214214587.0,12.5,HAFG26,175703203,58,AFG,103436970.0,57660909.0,0.0,0.0
HSSD26,South Sudan Humanitarian Needs and Response Plan 2026,SSD,SSD,['SSD'],2026,1463046056.0,322015249.0,22.0,HSSD26,206659361,68,SSD,51871258.0,19541064.0,0.0,0.0
HCOD26,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026,COD,COD,['COD'],2026,1403721718.0,430024823.0,30.6,HCOD26,409627645,65,COD,79037528.0,30740002.0,0.0,0.0
HTCD26,Tchad Besoins Humanitaires et Plan de Réponse 2026,TCD,TCD,['TCD'],2026,986069627.0,215913333.0,21.9,HTCD26,168197320,100,TCD,19232334.0,13130817.0,0.0,0.0
HMMR26,Myanmar Humanitarian Needs and Response Plan 2026,MMR,MMR,['MMR'],2026,889600798.0,245472134.0,27.6,HMMR26,240080430,62,MMR,68423330.0,19327730.0,0.0,0.0
HHTI26,Haiti Besoins Humanitaires et Plan de Réponse 2026,HTI,HTI,['HTI'],2026,880327426.0,172057079.0,19.5,HHTI26,167418324,18,HTI,31989741.0,16131817.0,0.0,0.0
